Ticker;SimFinId;_Company_Name;IndustryId;year;quarter
AEE;68703;"AMEREN CORP";105001;2022;Q1
AEHR;178053;"AEHR TEST SYSTEMS";101004;2022;Q3
AEIS;574583;"ADVANCED ENERGY INDUSTRIES INC";101001;2022;Q1
AEO;173396;"AMERICAN EAGLE OUTFITTERS INC";103002;2022;Q1
AEP;66050;"AMERICAN ELECTRIC POWER CO INC";105001;2022;Q1
AES;62329;"AES CORP";105001;2022;Q1
AFGS;1331220;"AGRIFORCE GROWING SYSTEMS LTD.";;2022;Q1
AFI;155205;"Armstrong Flooring, Inc.";110005;2021;Q4
AFRM;1242005;"Affirm Holdings, Inc.";104003;2022;Q3
AGCO;365265;"AGCO CORP /DE";100009;2022;Q1
AGHI;996261;"Agora Holdings, Inc.";;2018;Q3
AGIO;737501;"AGIOS PHARMACEUTICALS INC";106002;2022;Q1
AGLE;640634;"Aeglea BioTherapeutics, Inc.";106002;2022;Q1
AGN;61474;"Allergan plc";106005;2020;Q1
AGNC;445654;"American Capital Agency Corp";109001;2022;Q1
AGR;709430;"Avangrid, Inc.";105001;2022;Q1
AGS;967946;"PlayAGS, Inc.";103015;2022;Q1
AGX;529078;"ARGAN INC";100003;2022;Q1
AGYS;249502;"AGILYSYS INC";101003;2021;Q4
AH;1234789;"R1 RCM INC.";;2022;Q1
AHH;949479;"Armada Hoffler Properties, Inc.";;2022;Q1
AHPI;262963;"ALLIED HEALTHCARE PRODUCTS INC";106004;2022;Q3
AI;1326825;"C3.ai, Inc.";101003;2022;Q4
AIMC;773555;"Altra Industrial Motion Corp.";100001;2022;Q1
AINC;819902;"Ashford Inc.";104001;2022;Q1
AIR;671123;"AAR CORP";100008;2022;Q3
AIRC;1234036;"Apartment Income REIT Corp.";;2022;Q1
AIRI;166965;"AIR INDUSTRIES GROUP";100008;2022;Q1
AIT;253867;"APPLIED INDUSTRIAL TECHNOLOGIES INC";100005;2022;Q3
AIV;67201;"APARTMENT INVESTMENT & MANAGEMENT CO";109001;2022;Q1
AJG;66898;"GALLAGHER ARTHUR J & CO";104003;2022;Q1
AJRD;516551;"AEROJET ROCKETDYNE HOLDINGS, INC.";100008;2022;Q1
AKAM;69211;"AKAMAI TECHNOLOGIES INC";101003;2022;Q1
AKR;664572;"ACADIA REALTY TRUST";109001;2022;Q1
AKRX;195622;"AKORN INC";106005;2020;Q2
AKS;671046;"AK STEEL HOLDING CORP";110007;2019;Q4
AKYA;1250889;"Akoya Biosciences, Inc.";106002;2022;Q1
AL;182952;"AIR LEASE CORP";100007;2022;Q1
ALB;132877;"ALBEMARLE CORP";110001;2022;Q1
ALCO;798086;"ALICO INC";102002;2022;Q2
ALE;445686;"Allete Inc";105001;2022;Q1
ALEX;664573;"Alexander & Baldwin, Inc.";109001;2022;Q1
ALG;128246;"ALAMO GROUP INC";100009;2022;Q1
ALGN;445691;"Align Technology Inc";106004;2022;Q1
ALGT;735180;"Allegiant Travel CO";100006;2022;Q1
ALJJ;374775;"ALJ REGIONAL HOLDINGS INC";100002;2022;Q2
ALK;65470;"ALASKA AIR GROUP, INC.";100006;2022;Q1
ALKS;445699;"Alkermes PLC";106002;2022;Q1
ALLE;69109;"Allegion plc";100007;2022;Q1
ALLK;1872547;"Allakos Inc.";;2022;Q1
ALNY;325251;"ALNYLAM PHARMACEUTICALS, INC.";106002;2022;Q1
ALOT;995248;"AstroNova, Inc.";100001;2022;Q1
ALPN;819011;"ALPINE IMMUNE SCIENCES, INC.";106002;2022;Q1
ALR;139220;"ALERE INC.";106001;2017;Q2
ALRM;819790;"Alarm.com Holdings, Inc.";101003;2022;Q1
ALRN;815574;"AILERON THERAPEUTICS INC";106002;2022;Q1
ALSK;899013;"ALASKA COMMUNICATIONS SYSTEMS GROUP INC";108001;2021;Q1
ALSN;445706;"Allison Transmission Holdings Inc";103005;2022;Q1
ALT;511510;"Altimmune, Inc.";106002;2022;Q1
ALTM;1249012;"Altus Midstream Co";107003;2022;Q1
ALTMS;806793;"Alta Mesa Holdings, LP";;2019;Q2
ALTR;686620;"Altair Engineering Inc.";101003;2022;Q1
ALX;87732;"ALEXANDERS INC";109001;2022;Q1
ALXN;65359;"ALEXION PHARMACEUTICALS INC";106002;2021;Q1
AMAT;67102;"APPLIED MATERIALS INC /DE";101004;2022;Q2
AMBA;50129;"AMBARELLA INC";101004;2022;Q1
AMC;1100848;"AMC ENTERTAINMENT HOLDINGS, INC.";103001;2022;Q1
AMCR;6475603;"Amcor plc";;2022;Q3
AMCX;445716;"Amc Networks Inc";103001;2022;Q1
AMD;191397;"ADVANCED MICRO DEVICES INC";101004;2022;Q1
AME;67669;"AMETEK INC/";100001;2022;Q1
AMED;904598;"AMEDISYS INC";106011;2022;Q1
AMG;62475;"AFFILIATED MANAGERS GROUP, INC.";104001;2022;Q1
AMGN;65735;"AMGEN INC";106002;2022;Q1
AMH;445723;"American Homes 4 Rent";109001;2022;Q1
AMHCU;1841754;"Jasper Therapeutics, Inc.";;2022;Q1
AMKR;693881;"AMKOR TECHNOLOGY, INC.";101004;2022;Q1
AMN;683491;"AMN HEALTHCARE SERVICES INC";100011;2022;Q1
AMOT;126799;"ALLIED MOTION TECHNOLOGIES INC";101001;2022;Q1
AMP;67872;"AMERIPRISE FINANCIAL INC";104001;2022;Q1
AMPH;6767559;"Amphastar Pharmaceuticals, Inc.";;2022;Q1
AMPL;1307359;"Amplitude, Inc.";101003;2022;Q1
AMR;1787093;"Alpha Metallurgical Resources, Inc.";;2022;Q1
AMRC;6767507;"Ameresco, Inc.";;2022;Q1
AMRS;1250896;"AMYRIS, INC.";110001;2022;Q1
AMSC;33387;"AMERICAN SUPERCONDUCTOR CORP /DE/";101001;2021;Q4
AMSWA;196458;"AMERICAN SOFTWARE INC";101003;2022;Q4
AMT;68339;"AMERICAN TOWER CORP /MA/";108001;2022;Q1
AMTD;356477;"TD AMERITRADE HOLDING CORP";104003;2020;Q3
AMWD;77084;"AMERICAN WOODMARK CORP";103004;2022;Q4
AMZN;62747;"AMAZON COM INC";103002;2022;Q1
AN;66437;"AUTONATION, INC.";103005;2022;Q1
ANDE;6767645;"The Andersons, Inc.";;2022;Q1
ANDV;378224;Andeavor;107001;2018;Q2
ANET;536189;"Arista Networks, Inc.";101001;2022;Q1
ANF;188522;"ABERCROMBIE & FITCH CO /DE/";103002;2022;Q1
ANGI;647538;"ANGI Homeservices Inc.";101002;2022;Q1
ANIK;823284;"Anika Therapeutics, Inc.";106002;2022;Q1
ANSS;126145;"ANSYS INC";101003;2022;Q1
ANVS;1253389;"Annovis Bio, Inc.";106002;2022;Q1
AON;67471;"Aon plc";104003;2022;Q1
AORT;710985;"ARTIVION, INC.";106004;2022;Q1
AOS;445771;"Smith A O Corp";100001;2022;Q1
AOSL;175314;"ALPHA & OMEGA SEMICONDUCTOR Ltd";101004;2022;Q3
AP;995247;"AMPCO PITTSBURGH CORP";100001;2022;Q1
APA;254576;"APACHE CORP";107002;2022;Q1
APAM;1299451;"Artisan Partners Asset Management Inc.";104001;2022;Q1
APC;67564;"ANADARKO PETROLEUM CORP";107002;2019;Q2
APD;185217;"AIR PRODUCTS & CHEMICALS INC /DE/";110001;2022;Q2
APEI;1234045;"AMERICAN PUBLIC EDUCATION INC";102006;2022;Q1
APH;65820;"AMPHENOL CORP /DE/";101001;2022;Q1
APLS;1873240;"Apellis Pharmaceuticals, Inc.";;2022;Q1
APOG;327543;"APOGEE ENTERPRISES, INC.";110005;2021;Q4
APPF;959861;"APPFOLIO INC";101003;2022;Q1
APPS;826035;"Digital Turbine, Inc.";101003;2021;Q4
APRE;1164127;"Aprea Therapeutics, Inc.";106002;2022;Q1
APRN;978546;"Blue Apron Holdings, Inc.";103002;2022;Q1
APTI;741619;"Apptio Inc";101003;2018;Q3
APTV;378125;"Aptiv PLC";103005;2022;Q1
APU;723175;"AMERIGAS PARTNERS LP";105001;2019;Q3
APVO;819111;"Aptevo Therapeutics Inc.";106002;2022;Q1
APY;1234042;"ChampionX Corp";100003;2022;Q1
AQUA;6480961;"Evoqua Water Technologies Corp.";;2022;Q2
AR;466098;"ANTERO RESOURCES Corp";107002;2022;Q1
ARA;84598;"American Renal Associates Holdings, Inc.";106001;2020;Q3
ARAY;173115;"ACCURAY INC";106004;2022;Q3
ARCB;822441;"ARCBEST CORP /DE/";100010;2022;Q1
ARCH;646016;"ARCH COAL INC";110004;2022;Q1
ARCW;674718;"ARC Group Worldwide, Inc.";100001;2019;Q3
ARDX;6767767;"Ardelyx, Inc.";;2022;Q1
ARE;445788;"Alexandria Real Estate Equities Inc";109001;2022;Q1
AREX;919131;"Approach Resources Inc";107002;2019;Q3
ARHS;1397113;"Arhaus, Inc.";;2022;Q1
ARKR;952460;"ARK RESTAURANTS CORP";103003;2022;Q2
ARLO;1251690;"Arlo Technologies, Inc.";101005;2022;Q1
ARLP;786231;"ALLIANCE RESOURCE PARTNERS LP";110006;2022;Q1
ARMK;361112;Aramark;103003;2022;Q2
ARNA;826177;"ARENA PHARMACEUTICALS INC";106002;2021;Q4
ARNC;1195675;"Arconic Corp";100001;2022;Q1
ARO;93605;"AEROPOSTALE INC";103002;2017;Q2
AROC;998457;"Archrock, Inc.";107004;2022;Q1
ARPO;1841892;"Aadi Bioscience, Inc.";;2022;Q1
ARQL;795983;"ARQULE INC";106002;2019;Q3
ARRY;6744551;"Array Technologies, Inc.";;2022;Q1
ARRY_delis;50863;"ARRAY BIOPHARMA INC";106002;2019;Q3
ARTX;739639;"AROTECH CORP";100001;2019;Q3
ARVN;947146;"ARVINAS, INC.";106002;2022;Q1
ARW;445806;"Arrow Electronics Inc";101001;2022;Q1
ARWR;952053;"ARROWHEAD PHARMACEUTICALS, INC.";106002;2022;Q2
ASAN;1070494;"Asana, Inc.";101003;2022;Q1
ASCMA;707350;"Ascent Capital Group, Inc.";100007;2019;Q2
ASGN;1059907;"ASGN Inc";108003;2022;Q1
ASH;136913;"Ashland Global Holdings Inc.";110001;2022;Q2
ASIX;6767781;"AdvanSix Inc.";;2022;Q1
ASNA;35533;"Ascena Retail Group, Inc.";103002;2021;Q1
ASO;1271540;"Academy Sports & Outdoors, Inc.";103002;2022;Q1
ASPN;491354;"ASPEN AEROGELS INC";110005;2022;Q1
ASPU;652699;"ASPEN GROUP, INC.";102006;2022;Q4
ASTC;671045;"ASTROTECH Corp";100008;2022;Q3
ASTE;6767783;"Astec Industries, Inc.";;2022;Q1
ASYS;819674;"AMTECH SYSTEMS INC";101004;2022;Q2
ATEN;6767755;"A10 Networks, Inc.";;2022;Q1
ATGE;6767543;"Adtalem Global Education Inc.";;2022;Q3
ATHN_delis;495675;"ATHENAHEALTH INC";101003;2018;Q3
ATI;442346;"Allegheny Technologies Inc.";100001;2022;Q1
ATKR;368117;"Atkore International Group Inc.";100001;2022;Q2
ATNX;785769;"Athenex, Inc.";106002;2022;Q1
ATO;445830;"Atmos Energy Corp";105001;2022;Q2
ATOM;1070617;"Atomera Inc";100003;2022;Q1
ATRC;6767491;"AtriCure, Inc.";;2022;Q1
ATRI;6767741;"Atrion Corporation";;2022;Q1
ATRO;683677;"ASTRONICS CORP";100008;2022;Q1
ATSG;6767609;"Air Transport Services Group, Inc.";;2022;Q1
ATUS;997777;"Altice USA, Inc.";103001;2022;Q1
ATVI;243;"Activision Blizzard";101003;2022;Q1
ATW;412984;"ATWOOD OCEANICS INC";107006;2017;Q3
AUGX;1295830;"Augmedix, Inc.";106003;2022;Q1
AURA;1873135;"Aura Biosciences, Inc.";;2022;Q1
AVA;703252;"AVISTA CORP";105001;2022;Q1
AVAV;75856;"AeroVironment Inc";100008;2022;Q4
AVB;66223;"AVALONBAY COMMUNITIES INC";109001;2022;Q1
AVD;1340567;"AMERICAN VANGUARD CORP";;2022;Q1
AVEO;809080;"AVEO PHARMACEUTICALS INC";106002;2022;Q1
AVGO;686523;"Broadcom Inc.";101004;2022;Q1
AVGR;896087;"Avinger Inc";106004;2022;Q1
AVID;6767713;"Avid Technology, Inc.";;2022;Q1
AVLR;989057;"AVALARA, INC.";101003;2022;Q1
AVNS;536304;"Avanos Medical, Inc.";106003;2022;Q1
AVNT;1234038;"AVIENT CORP";110005;2022;Q1
AVO;1303644;"Mission Produce, Inc.";;2022;Q2
AVP;335142;"AVON PRODUCTS INC";102002;2022;Q1
AVT;884659;"AVNET INC";101001;2022;Q3
AVTR;1033572;"Avantor, Inc.";100001;2022;Q1
AVY;66346;"Avery Dennison Corp";100001;2022;Q1
AVYA;934338;"Avaya Holdings Corp.";101005;2022;Q2
AWI;253579;"ARMSTRONG WORLD INDUSTRIES INC";110005;2022;Q1
AWK;168302;"American Water Works Company, Inc.";105001;2022;Q1
AWRE;512152;"AWARE INC /MA/";101003;2022;Q1
AWX;129218;"AVALON HOLDINGS CORP";100004;2022;Q1
AXAS;960882;"ABRAXAS PETROLEUM CORP";;2022;Q1
AXDX;1250895;"Accelerate Diagnostics, Inc";;2022;Q1
AXGN;822853;"AxoGen, Inc.";106004;2022;Q1
AXL;980335;"AMERICAN AXLE & MANUFACTURING HOLDINGS INC";100003;2022;Q1
AXON;493957;"AXON ENTERPRISE, INC.";100008;2022;Q1
AXTA;702906;"Axalta Coating Systems Ltd.";110001;2022;Q1
AXTI;704072;"AXT INC";101004;2022;Q1
AY;1300945;"Atlantica Sustainable Infrastructure plc";107007;2021;Q4
AYI;61705;"ACUITY BRANDS INC";100001;2022;Q2
AYX;695370;"Alteryx, Inc.";101003;2022;Q1
AZEK;1312108;"AZEK Co Inc.";100003;2022;Q2
AZO;58197;"AUTOZONE INC";103002;2022;Q2
AZPN;445871;"Aspen Technology Inc";101003;2022;Q3
AZZ;82401;"AZZ INC";100001;2021;Q4
B;6767521;"Barnes Group Inc.";;2022;Q1
BA;70844;"BOEING CO";100008;2022;Q1
BAH;182296;"Booz Allen Hamilton Holding Corp";100002;2021;Q4
BALL;247618;"BALL CORP";103018;2022;Q1
BATL;637325;"BATTALION OIL CORP";107002;2022;Q1
BAX;254808;"BAXTER INTERNATIONAL INC";106003;2022;Q1
BB;1108872;"BLACKBERRY Ltd";101005;2021;Q4
BBBY;60362;"BED BATH & BEYOND INC";103002;2021;Q4
BBGI;652265;"BEASLEY BROADCAST GROUP INC";103001;2022;Q1
BBIO;3240601;"BridgeBio Pharma, Inc.";;2022;Q1
BBRG;350647;"Bravo Brio Restaurant Group, Inc.";103003;2018;Q1
BBSI;684470;"BARRETT BUSINESS SERVICES INC";100011;2022;Q1
BBWI;185942;"Bath & Body Works, Inc.";103002;2022;Q1
BBY;71192;"BEST BUY CO INC";103002;2022;Q1
BC;121407;"BRUNSWICK CORP";103015;2022;Q1
BCAB;1822744;"BioAtla, Inc.";;2022;Q1
BCC;1788784;"BOISE CASCADE Co";;2022;Q1
BCEI;960881;"Bonanza Creek Energy, Inc.";107002;2022;Q1
BCO;494050;"BRINKS CO";100007;2022;Q1
BCOR;651518;"BLUCORA, INC.";104001;2022;Q1
BCPC;700317;"BALCHEM CORP";110001;2022;Q1
BCR;71733;"BARD C R INC /NJ/";106003;2017;Q3
BCRX;6767589;"BioCryst Pharmaceuticals, Inc.";;2022;Q1
BDC;1234039;"BELDEN INC.";100001;2022;Q1
BDSX;1253248;"BIODESIX INC";106002;2022;Q1
BDX;71373;"BECTON DICKINSON & CO";106003;2022;Q2
BE;1059129;"Bloom Energy Corp";107007;2022;Q1
BEAM;1253264;"Beam Therapeutics Inc.";106002;2022;Q1
BEBE;998467;"bebe stores, inc.";;2018;Q1
BEN;378153;"Franklin Resources";104001;2022;Q2
BERY;470977;"BERRY GLOBAL GROUP INC";103018;2022;Q2
BFAM;132997;"BRIGHT HORIZONS FAMILY SOLUTIONS INC.";103020;2022;Q1
BFLY;1253249;"Butterfly Network, Inc.";106004;2022;Q1
BFS;664571;"SAUL CENTERS INC";109001;2022;Q1
BG;445920;"Bunge LTD";102002;2022;Q1
BGCP;625540;"BGC Partners, Inc.";104003;2022;Q1
BGFV;1248288;"BIG 5 SPORTING GOODS Corp";103002;2022;Q1
BGG;252726;"BRIGGS & STRATTON CORP";100001;2020;Q3
BGNE;734219;"BeiGene, Ltd.";106002;2022;Q1
BGS;327019;"B&G Foods, Inc.";102002;2022;Q1
BGSF;346052;"BG Staffing, Inc.";100011;2022;Q1
BH;995149;"Biglari Holdings Inc.";111001;2022;Q1
BHC;542074;"Bausch Health Companies Inc.";106005;2022;Q1
BHE;95106;"BENCHMARK ELECTRONICS INC";101001;2022;Q1
BHI;71832;"BAKER HUGHES Holdings LLC";107004;2022;Q1
BHIL;1340566;"Benson Hill, Inc.";110003;2022;Q1
BHR;949483;"Braemar Hotels & Resorts Inc.";109001;2022;Q1
BID;136608;SOTHEBYS;103002;2019;Q3
BIG;49609;"BIG LOTS INC";102001;2022;Q1
BIIB;71079;"BIOGEN INC.";106002;2022;Q1
BILL;1801461;"Bill.com Holdings, Inc.";;2022;Q3
BIO;130356;"BIO RAD LABORATORIES INC";106001;2022;Q1
BJ;1234040;"BJ's Wholesale Club Holdings, Inc.";102001;2022;Q1
BJRI;537369;"BJs RESTAURANTS INC";103003;2022;Q1
BKE;196385;"BUCKLE INC";103002;2022;Q1
BKH;253495;"BLACK HILLS POWER INC";105001;2020;Q3
BKI;889703;"Black Knight, Inc.";101003;2022;Q1
BKNG;261036;"Booking Holdings Inc.";103015;2022;Q1
BKR;679135;"Baker Hughes Company";107004;2022;Q1
BKS;763488;"BARNES & NOBLE INC";103002;2019;Q4
BKTI;546874;"BK Technologies";101005;2022;Q1
BL;371763;"BLACKLINE, INC.";101003;2022;Q1
BLCM;808260;"BELLICUM PHARMACEUTICALS, INC";106002;2022;Q1
BLD;1055096;"TopBuild Corp";110005;2022;Q1
BLDR;826504;"Builders FirstSource, Inc.";110005;2022;Q1
BLFS;148798;"BIOLIFE SOLUTIONS INC";106003;2022;Q1
BLI;1250891;"Berkeley Lights, Inc.";106002;2022;Q1
BLK;914;"BlackRock, Inc.";104001;2022;Q1
BLMN;6767511;"Bloomin' Brands, Inc.";;2022;Q1
BLUE;787981;"bluebird bio, Inc.";106002;2022;Q1
BLZE;3192396;"Backblaze, Inc.";;2022;Q1
BMBL;1242698;"Bumble Inc.";103015;2022;Q1
BMI;252337;"BADGER METER INC";101001;2022;Q1
BMRN;135371;"BIOMARIN PHARMACEUTICAL INC";106002;2022;Q1
BMS;687804;"BEMIS CO INC";103018;2019;Q1
BMY;255210;"BRISTOL MYERS SQUIBB CO";106005;2022;Q1
BNED;75409;"Barnes & Noble Education, Inc.";103002;2022;Q4
BNFT;967945;"Benefitfocus, Inc.";101002;2022;Q1
BNGO;1253246;"Bionano Genomics, Inc";106002;2022;Q1
BOJA;82963;"Bojangles', Inc.";103003;2018;Q3
BOMN;825115;"BOSTON OMAHA Corp";100013;2022;Q1
BONT;200557;"BON TON STORES INC";103002;2017;Q3
BOOM;953277;"DMC Global Inc.";107004;2022;Q1
BOOT;39510;"Boot Barn Holdings, Inc.";103002;2021;Q4
BOX;47121;"BOX INC";101003;2022;Q1
BOXL;1017526;"Boxlight Corp";101003;2022;Q1
BPL;669884;"BUCKEYE PARTNERS, L.P.";107003;2019;Q3
BPMC;781830;"Blueprint Medicines Corp";106002;2022;Q1
BPMP;960880;"BP Midstream Partners LP";107003;2021;Q4
BR;143497;"BROADRIDGE FINANCIAL SOLUTIONS, INC.";100002;2022;Q3
BRBR;1011103;"BELLRING BRANDS, INC.";102002;2022;Q2
BRC;246429;"BRADY CORP";100007;2022;Q3
BRCD;186307;"BROCADE COMMUNICATIONS SYSTEMS INC";101001;2017;Q3
BREW;63411;"CRAFT BREW ALLIANCE, INC.";102004;2020;Q2
BRID;33021;"BRIDGFORD FOODS CORP";102002;2022;Q2
BRK-A;71306;"BERKSHIRE HATHAWAY INC";111001;2022;Q1
BRKR;1253240;"BRUKER CORP";106001;2022;Q1
BRKS;531292;"BROOKS AUTOMATION INC";101004;2022;Q2
BRLT;3172579;"Brilliant Earth Group, Inc.";;2022;Q1
BRMK;996201;"Broadmark Realty Capital Inc.";109001;2022;Q1
BRO;245531;"BROWN & BROWN INC";104003;2022;Q1
BROS;1329540;"Dutch Bros Inc.";103003;2022;Q1
BRS;255858;"Bristow Group Inc";107004;2019;Q2
BRSP;949489;"BrightSpire Capital, Inc.";;2022;Q1
BRSS;778121;"GLOBAL BRASS & COPPER HOLDINGS, INC.";100001;2019;Q1
BRX;108186;"Brixmor Property Group Inc.";109001;2022;Q1
BSET;675839;"BASSETT FURNITURE INDUSTRIES INC";103004;2022;Q1
BSIG;990127;"BrightSphere Investment Group Inc.";;2022;Q1
BSM;960876;"Black Stone Minerals, L.P.";;2022;Q1
BSPM;543906;"Biostar Pharmaceuticals, Inc.";106005;2017;Q3
BSQR;101318;"BSQUARE CORP /WA";101003;2022;Q1
BSTC;822442;"BIOSPECIFICS TECHNOLOGIES CORP";106002;2020;Q3
BSTG;148380;"Biostage, Inc.";106002;2022;Q1
BSX;239516;"BOSTON SCIENTIFIC CORP";106004;2022;Q1
BSY;1209290;"BENTLEY SYSTEMS INC";101003;2022;Q1
BTAI;818572;"BioXcel Therapeutics, Inc.";106002;2022;Q1
BTU;918412;"PEABODY ENERGY CORP";110004;2022;Q1
BURL;179036;"Burlington Stores, Inc.";102001;2022;Q1
BV;977402;"BrightView Holdings, Inc.";100002;2022;Q2
BVS;1237813;"Bioventus Inc.";106011;2022;Q1
BVSN;156413;"BROADVISION INC";101003;2019;Q3
BV_old;59824;"Bazaarvoice Inc";101003;2018;Q2
BWA;70746;"BORGWARNER INC";103005;2022;Q1
BWLA;287640;"BOWL AMERICA INC";103001;2021;Q3
BWV;1342102;"Blue Water Vaccines Inc.";;2022;Q1
BWXT;914354;"BWX Technologies, Inc.";100008;2022;Q1
BX;498254;"Blackstone Group L.P.";104001;2022;Q1
BXC;673388;"BlueLinx Holdings Inc.";110005;2022;Q1
BXP;70579;"BOSTON PROPERTIES INC";109001;2022;Q1
BYD;899361;"BOYD GAMING CORP";103015;2022;Q1
BYND;917697;"BEYOND MEAT, INC.";102002;2022;Q1
BZH;505724;"BEAZER HOMES USA INC";103013;2022;Q2
CA;262416;"CA, INC.";101003;2018;Q2
CABO;1053849;"Cable One, Inc.";108001;2022;Q1
CACC;980324;"CREDIT ACCEPTANCE CORP";104007;2022;Q1
CACI;254661;"CACI INTERNATIONAL INC /DE/";101003;2022;Q3
CAG;326285;"CONAGRA FOODS INC /DE/";102002;2022;Q3
CAGU;154936;"CASTLE GROUP INC";109002;2018;Q1
CAH;159950;"CARDINAL HEALTH INC";106014;2022;Q3
CAI;6767663;"CAI International, Inc.";;2021;Q3
CAKE;817638;"CHEESECAKE FACTORY INC";103003;2022;Q1
CAL;49132;"CALERES INC";103004;2022;Q1
CALA;817563;"Calithera Biosciences, Inc.";106002;2022;Q1
CALD;100006;"CALLIDUS SOFTWARE INC";101003;2017;Q4
CALL;144735;"MAGICJACK VOCALTEC LTD";108001;2018;Q3
CALM;776100;"CAL-MAINE FOODS INC";102002;2022;Q1
CALX;1060039;"CALIX, INC";101003;2022;Q1
CAMP;75639;"CalAmp Corp.";101005;2021;Q4
CANO;1242697;"Cano Health, Inc.";106011;2022;Q1
